name,team,match_id,shots,passing,chances,crossing,set_piece,take_ons,tackles,aerial_duels,interceptions,clearance,fouls,cards,throw_ins,blocks,gk,goal,own_goal,date,stadium,league,did_play,did_start,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,score
Sergio Romero,MANUTD,MANUTDvCHELSEA,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Daley Blind,MANUTD,MANUTDvCHELSEA,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Luke Shaw,MANUTD,MANUTDvCHELSEA,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Timothy Fosu-Mensah,MANUTD,MANUTDvCHELSEA,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Michael Carrick,MANUTD,MANUTDvCHELSEA,0,86%,1,0,0,0,100%,0%,2,1,0,0,0,1,0,0,0,16.04.2017,Old Trafford,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,13,16,17,26,2v0
Henrikh Mkhitaryan,MANUTD,MANUTDvCHELSEA,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Zlatan Ibrahimovic,MANUTD,MANUTDvCHELSEA,0,100%,0,0,0,0,0%,100%,1,0,1,1,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-7,2v0
Asmir Begovic,CHELSEA,MANUTDvCHELSEA,0,67%,0,0,0,0,0%,0%,0,1,0,0,0,0,1,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,0,-20,-21,-22,-18,-18,-17,-17,-16,-34,-33,-32,-32,-22,-22,-21,-21,-20,2v0
Kurt Zouma,CHELSEA,MANUTDvCHELSEA,0,65%,0,2,0,2,0%,0%,2,2,1,0,4,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,-1,-8,-10,-10,-9,-9,-9,-8,-5,-14,-15,-15,-15,-14,-14,-14,-15,-10,2v0
Gary Cahill,CHELSEA,MANUTDvCHELSEA,0,88%,0,0,0,0,45%,50%,3,1,3,1,1,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,4,2,3,7,8,8,8,9,14,-7,-6,-6,-4,-4,0,3,2,9,2v0
